# A El   Z    S(n) - neutron energy
  1  n   0       * 
 97 Zr  40   13425.
 97 Nb  41   14962.
 97 Mo  42   15975.
 97 Tc  43   17345.
 97 Ru  44   18805.
 97 Rh  45   20399.
 97 Pd  46   23982.
 97 Ag  47   27371#
 97 Cd  48   29966#
 97 In  49       * 
 98 Br  35    6230#
 98 Kr  36    7374#
 98 Rb  37    9157.
 98 Sr  38    9641.
 98 Y   39   10101.
 98 Zr  40   11990.
 98 Nb  41   14064.
 98 Mo  42   15463.
 98 Tc  43   16753.
 98 Ru  44   18287.
 98 Rh  45   19630.
 98 Pd  46   21280.
 98 Ag  47   24697.
 98 Cd  48   28206#
 98 In  49   32148#
 99 Kr  36    7479#
 99 Rb  37    8744.
 99 Sr  38   10082.
 99 Y   39   10671.
 99 Zr  40   10820.
 99 Nb  41   12872.
 99 Mo  42   14568.
 99 Tc  43   16246.
 99 Ru  44   17647.
 99 Rh  45   19126.
 99 Pd  46   20519.
 99 Ag  47   22029.
 99 Cd  48   25620#
 99 In  49   30329#
 99 Sn  50       * 
100 Kr  36    6884#
100 Rb  37    8020.
100 Sr  38    9540.
100 Y   39   11175.
100 Zr  40   11233.
100 Nb  41   12415.
100 Mo  42   14219.
100 Tc  43   15731.
100 Ru  44   17145.
100 Rh  45   18558.
100 Pd  46   20034.
100 Ag  47   21214.
100 Cd  48   22700.
100 In  49   26559#
100 Sn  50       * 
101 Kr  36    6511#
101 Rb  37    7866#
101 Sr  38    8946.
101 Y   39   10553.
101 Zr  40   11687.
101 Nb  41   12698.
101 Mo  42   13692.
101 Tc  43   15159.
101 Ru  44   16475.
101 Rh  45   17973.
101 Pd  46   19392.
101 Ag  47   20764.
101 Cd  48   22047.
101 In  49   23380#
101 Sn  50   28504#
102 Rb  37    7602#
102 Sr  38    8481.
102 Y   39    9988.
102 Zr  40   11352.
102 Nb  41   12649.
102 Mo  42   13515.
102 Tc  43   14694.
102 Ru  44   16021.
102 Rh  45   17334.
102 Pd  46   18833.
102 Ag  47   20251.
102 Cd  48   21607.
102 In  49   22524.
102 Sn  50   23794.
103 Rb  37    6906#
103 Sr  38    8240#
