# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
 95 Nb  41    8488.5
 95 Mo  42    7369.1
 95 Tc  43    9934.3
 95 Ru  44    8945.4
 95 Rh  45   13504.3
 95 Pd  46   11934.9
 95 Ag  47   15259# 
 95 Cd  48   14562# 
 96 Br  35    2464# 
 96 Kr  36    4992.0
 96 Rb  37    3534.1
 96 Sr  38    5875.9
 96 Y   39    5198.3
 96 Zr  40    7850.2
 96 Nb  41    6887.8
 96 Mo  42    9154.3
 96 Tc  43    7871.6
 96 Ru  44   10693.9
 96 Rh  45    9418.4
 96 Pd  46   14288.8
 96 Ag  47   12986# 
 96 Cd  48   17014# 
